Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Revenue,Margin,Ship Days,Order Returned,Shipping TAT
1,IN-2017-27828,8/27/2017,8/31/2017,Standard Class,VT-21700,Valerie Takahito,Home Office,Luoyang,Fujian,China,North Asia,OFF-PA-10000026,Office Supplies,Paper,"Eaton Cards & Envelopes, 8.5 x 11",197.28,4,0,35.4,789.12,75,4,Yes,Second Class
2,IN-2017-27828,8/27/2017,8/31/2017,Standard Class,VT-21700,Valerie Takahito,Home Office,Luoyang,Fujian,China,North Asia,FUR-FU-10000944,Furniture,Furnishings,"Tenex Door Stop, Black",307.23,7,0,21.42,2150.61,85.71428571428571,4,Yes,Second Class
3,IN-2017-27828,8/27/2017,8/31/2017,Standard Class,VT-21700,Valerie Takahito,Home Office,Luoyang,Fujian,China,North Asia,TEC-CO-10002526,Technology,Copiers,"Sharp Wireless Fax, Digital",1422.24,4,0,526.2,5688.96,75,4,Yes,Second Class
4,IN-2017-27828,8/27/2017,8/31/2017,Standard Class,VT-21700,Valerie Takahito,Home Office,Luoyang,Fujian,China,North Asia,TEC-AC-10002255,Technology,Accessories,"Memorex Keyboard, Erganomic",207.45,3,0,78.75,622.3499999999999,66.66666666666666,4,Yes,Second Class
5,IN-2018-63178,6/24/2018,6/30/2018,Standard Class,SO-20335,Sean O'Donnell,Consumer,Marikina,Metro Manila,Philippines,Southeast Asia,OFF-AP-10002882,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Silver",121.074,2,0.15,37.014,242.148,50,6,No,Standard Class
6,IN-2015-29067,5/31/2015,6/4/2015,Second Class,ST-20530,Shui Tom,Consumer,New Delhi,Delhi,India,Central Asia,OFF-BI-10000168,Office Supplies,Binders,"Cardinal Hole Reinforcements, Recycled",11.4,2,0,2.82,22.8,50,4,No,Second Class
7,IN-2016-15361,8/16/2016,8/22/2016,Standard Class,CS-12130,Chad Sievert,Consumer,Tokyo,Tokyo,Japan,North Asia,TEC-PH-10001354,Technology,Phones,"Motorola Speaker Phone, Full Size",262.14,2,0,73.38,524.28,50,6,No,Standard Class
8,IN-2015-79397,1/3/2015,1/3/2015,Same Day,KN-16450,Kean Nguyen,Corporate,Sydney,New South Wales,Australia,Oceania,OFF-LA-10003396,Office Supplies,Labels,"Avery Color Coded Labels, Laser Printer Compatible",35.883,3,0.1,4.743,107.649,66.66666666666666,0,No,Same day
9,IN-2015-79397,1/3/2015,1/3/2015,Same Day,KN-16450,Kean Nguyen,Corporate,Sydney,New South Wales,Australia,Oceania,OFF-AP-10000304,Office Supplies,Appliances,"Hoover Microwave, White",276.102,1,0.1,110.412,276.102,0,0,No,Same day
10,ID-2016-63535,5/10/2016,5/16/2016,Standard Class,ML-17410,Maris LaWare,Consumer,Hobart,Tasmania,Australia,Oceania,TEC-PH-10003062,Technology,Phones,"Apple Audio Dock, Full Size",504.54,5,0.4,-42.06,2522.7000000000003,80,6,No,Standard Class
11,ID-2016-63535,5/10/2016,5/16/2016,Standard Class,ML-17410,Maris LaWare,Consumer,Hobart,Tasmania,Australia,Oceania,OFF-AR-10001134,Office Supplies,Art,"Boston Pens, Easy-Erase",8.694,1,0.4,-4.356,8.694,0,6,No,Standard Class
12,ID-2015-65117,7/12/2015,7/16/2015,Standard Class,SW-20245,Scot Wooten,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,OFF-SU-10004177,Office Supplies,Supplies,"Fiskars Box Cutter, Easy Grip",61.281,3,0.45,-25.659,183.843,66.66666666666666,4,No,Second Class
13,ID-2015-65117,7/12/2015,7/16/2015,Standard Class,SW-20245,Scot Wooten,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,TEC-PH-10001354,Technology,Phones,"Motorola Speaker Phone, Full Size",589.815,6,0.25,23.535,3538.8900000000003,83.33333333333334,4,No,Second Class
14,ID-2015-65117,7/12/2015,7/16/2015,Standard Class,SW-20245,Scot Wooten,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,OFF-BI-10000089,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Recycled",216.8775,9,0.15,86.7375,1951.8975,88.88888888888889,4,No,Second Class
15,ID-2015-65117,7/12/2015,7/16/2015,Standard Class,SW-20245,Scot Wooten,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,OFF-EN-10003463,Office Supplies,Envelopes,"Jiffy Peel and Seal, Recycled",51.7275,5,0.45,-5.7225,258.6375,80,4,No,Second Class
16,ID-2015-65117,7/12/2015,7/16/2015,Standard Class,SW-20245,Scot Wooten,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,FUR-CH-10001871,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Set of Two",600.84,8,0.25,-152.28,4806.72,87.5,4,No,Second Class
17,ID-2018-39084,6/13/2018,6/17/2018,Standard Class,PO-18865,Patrick O'Donnell,Consumer,Valencia,Bukidnon,Philippines,Southeast Asia,TEC-CO-10000666,Technology,Copiers,"Hewlett Copy Machine, Laser",684.606,4,0.35,-63.234,2738.424,75.00000000000001,4,Yes,Second Class
18,ID-2018-44908,2/27/2018,3/4/2018,Standard Class,AI-10855,Arianne Irving,Consumer,Bandung,Jawa Barat,Indonesia,Southeast Asia,OFF-SU-10004848,Office Supplies,Supplies,"Kleencut Shears, High Speed",123.9405,5,0.47,-84.2595,619.7025,80,5,No,Second Class
19,ID-2018-44908,2/27/2018,3/4/2018,Standard Class,AI-10855,Arianne Irving,Consumer,Bandung,Jawa Barat,Indonesia,Southeast Asia,OFF-PA-10003332,Office Supplies,Paper,"Xerox Cards & Envelopes, Recycled",47.5728,2,0.47,-15.3072,95.1456,50,5,No,Second Class
20,ID-2016-73146,10/25/2016,10/31/2016,Standard Class,HM-14980,Henry MacAllister,Consumer,Denpasar,Bali,Indonesia,Southeast Asia,OFF-AP-10000487,Office Supplies,Appliances,"Hoover Stove, Silver",1417.3578,3,0.17,-290.3022,4252.0734,66.66666666666667,6,No,Standard Class
21,ID-2016-73146,10/25/2016,10/31/2016,Standard Class,HM-14980,Henry MacAllister,Consumer,Denpasar,Bali,Indonesia,Southeast Asia,OFF-LA-10000095,Office Supplies,Labels,"Avery Round Labels, Laser Printer Compatible",22.7052,6,0.47,-4.2948,136.2312,83.33333333333333,6,No,Standard Class
22,ID-2018-62926,9/18/2018,9/19/2018,First Class,MC-18100,Mick Crebagga,Consumer,Makati,Metro Manila,Philippines,Southeast Asia,TEC-MA-10003553,Technology,Machines,"Epson Printer, Red",389.655,2,0.25,-83.145,779.31,50,1,No,First Class
23,ID-2018-64914,3/27/2018,3/28/2018,First Class,AS-10285,Alejandro Savely,Corporate,Kaiyuan,Liaoning,China,North Asia,FUR-TA-10000147,Furniture,Tables,"Lesro Coffee Table, Rectangular",1048.194,6,0.3,-284.526,6289.164,83.33333333333333,1,Yes,First Class
24,ID-2016-57809,10/10/2016,10/14/2016,Standard Class,AO-10810,Anthony O'Donnell,Corporate,Pekanbaru,Riau,Indonesia,Southeast Asia,FUR-TA-10000665,Furniture,Tables,"Bevis Computer Table, Fully Assembled",786.2868,3,0.47,-563.8032,2358.8604,66.66666666666667,4,No,Second Class
25,ID-2016-57809,10/10/2016,10/14/2016,Standard Class,AO-10810,Anthony O'Donnell,Corporate,Pekanbaru,Riau,Indonesia,Southeast Asia,OFF-AR-10001232,Office Supplies,Art,"Sanford Canvas, Fluorescent",75.5988,2,0.27,4.1388,151.1976,50,4,No,Second Class
